iter	Passed	Remaining
556	1395	1109
557	1397	1107
558	1401	1105
559	1403	1102
560	1405	1099
561	1407	1096
562	1408	1093
563	1410	1090
564	1414	1089
565	1417	1086
566	1419	1083
567	1421	1080
568	1422	1077
569	1424	1074
570	1426	1072
571	1428	1069
572	1430	1066
573	1432	1063
574	1435	1060
575	1437	1057
576	1438	1054
577	1441	1052
578	1443	1049
579	1445	1046
580	1447	1043
581	1449	1040
582	1451	1037
583	1452	1035
584	1454	1032
585	1456	1029
586	1459	1026
587	1461	1023
588	1463	1021
589	1465	1018
590	1467	1015
591	1469	1012
592	1470	1009
593	1472	1006
594	1474	1003
595	1477	1001
596	1479	999
597	1482	996
598	1483	993
599	1485	990
600	1487	987
601	1489	984
602	1491	981
603	1493	978
604	1495	976
605	1498	974
606	1500	971
607	1502	968
608	1504	965
609	1506	963
610	1508	960
611	1510	957
612	1512	955
613	1514	952
614	1516	949
615	1518	946
616	1520	944
617	1523	941
618	1525	939
619	1527	936
620	1529	933
621	1530	930
622	1533	927
623	1535	925
624	1537	922
625	1539	919
626	1541	916
627	1542	913
628	1544	911
629	1546	908
630	1548	905
631	1551	903
632	1553	900
633	1555	897
634	1557	894
635	1558	892
636	1560	889
637	1563	886
638	1565	884
639	1567	881
640	1569	879
641	1571	876
642	1573	873
643	1574	870
644	1576	867
645	1579	865
646	1581	862
647	1583	860
648	1585	857
649	1588	855
650	1590	852
651	1592	849
652	1594	847
653	1596	844
654	1597	841
655	1600	839
656	1601	836
657	1603	833
658	1605	830
659	1607	828
660	1610	825
661	1611	822
662	1613	820
663	1616	817
664	1618	815
665	1619	812
666	1621	809
667	1623	806
668	1624	803
669	1627	801
670	1629	798
671	1631	796
672	1633	793
673	1635	791
674	1637	788
675	1639	785
676	1641	783
677	1643	780
678	1645	778
679	1648	775
680	1650	773
681	1652	770
682	1654	767
683	1656	765
684	1658	762
685	1660	760
686	1664	758
687	1666	755
688	1668	753
689	1673	752
690	1676	749
691	1679	747
692	1681	744
693	1683	742
694	1685	739
695	1687	736
696	1689	734
697	1691	731
698	1694	729
699	1696	726
700	1698	724
701	1700	721
702	1702	719
703	1705	716
704	1707	714
705	1709	712
706	1711	709
707	1714	706
708	1716	704
709	1718	701
710	1720	699
711	1722	696
712	1724	694
713	1726	691
714	1728	689
715	1730	686
716	1732	683
717	1735	681
718	1737	679
719	1739	676
720	1741	673
721	1743	671
722	1745	668
723	1747	666
724	1750	663
725	1752	661
726	1754	658
727	1756	656
728	1758	653
729	1760	651
730	1763	648
731	1765	646
732	1767	643
733	1769	641
734	1771	638
735	1773	635
736	1774	633
737	1776	630
738	1784	630
739	1786	627
740	1788	625
741	1790	622
742	1792	620
743	1794	617
744	1796	614
745	1798	612
746	1801	610
747	1803	607
748	1805	604
749	1807	602
750	1809	599
751	1811	597
752	1813	594
753	1816	592
754	1818	590
755	1820	587
756	1822	584
757	1824	582
758	1826	579
759	1828	577
760	1831	575
761	1833	572
762	1835	570
763	1837	567
764	1839	565
765	1841	562
766	1843	560
767	1845	557
768	1847	555
769	1849	552
770	1851	549
771	1853	547
772	1855	544
773	1857	542
774	1859	539
775	1861	537
776	1864	534
777	1866	532
778	1868	530
779	1870	527
780	1872	525
781	1874	522
782	1877	520
783	1879	517
784	1881	515
785	1882	512
786	1884	510
787	1886	507
788	1888	504
789	1890	502
790	1893	500
791	1895	497
792	1897	495
793	1898	492
794	1900	490
795	1902	487
796	1903	484
797	1906	482
798	1909	480
799	1911	477
800	1913	475
801	1915	472
802	1916	470
803	1918	467
804	1920	465
805	1922	462
806	1924	460
807	1927	457
808	1928	455
809	1930	452
810	1932	450
811	1933	447
812	1935	445
813	1938	442
814	1940	440
815	1942	437
816	1943	435
817	1945	432
818	1947	430
819	1949	427
820	1951	425
821	1953	423
822	1955	420
823	1957	418
824	1959	415
825	1960	413
826	1963	410
827	1965	408
828	1968	406
829	1970	403
830	1972	401
831	1974	398
832	1975	396
833	1977	393
834	1979	391
835	1981	388
836	1983	386
837	1985	383
838	1987	381
839	1989	378
840	1991	376
841	1992	373
842	1996	371
843	2000	369
844	2002	367
845	2004	364
846	2005	362
847	2008	359
848	2010	357
849	2012	355
850	2016	353
851	2018	350
852	2020	348
853	2022	345
854	2024	343
855	2026	340
856	2028	338
857	2031	336
858	2034	333
859	2035	331
860	2037	328
861	2039	326
862	2040	324
863	2042	321
864	2044	319
865	2046	316
866	2048	314
867	2050	311
868	2052	309
869	2053	306
870	2055	304
871	2057	302
872	2059	299
873	2061	297
874	2063	294
875	2065	292
876	2067	289
877	2069	287
878	2070	285
879	2072	282
880	2075	280
881	2077	277
882	2078	275
883	2080	273
884	2082	270
885	2083	268
886	2085	265
887	2087	263
888	2089	260
889	2091	258
890	2093	256
891	2095	253
892	2096	251
893	2098	248
894	2100	246
895	2102	244
896	2105	241
897	2107	239
898	2109	237
899	2111	234
900	2113	232
901	2114	229
902	2116	227
903	2118	224
904	2120	222
905	2122	220
906	2124	217
907	2126	215
908	2128	213
909	2130	210
910	2132	208
911	2134	205
912	2136	203
913	2139	201
914	2140	198
915	2142	196
916	2144	194
917	2145	191
918	2148	189
919	2150	187
920	2152	184
921	2154	182
922	2156	179
923	2158	177
924	2159	175
925	2161	172
926	2162	170
927	2164	167
928	2166	165
929	2168	163
930	2170	160
931	2172	158
932	2174	156
933	2175	153
934	2177	151
935	2179	149
936	2181	146
937	2182	144
938	2185	141
939	2186	139
940	2188	137
941	2190	134
942	2192	132
943	2194	130
944	2196	127
945	2198	125
946	2200	123
947	2202	120
948	2204	118
949	2206	116
950	2208	113
951	2209	111
952	2211	109
953	2214	106
954	2216	104
955	2218	102
956	2220	99
957	2222	97
958	2224	95
959	2225	92
960	2227	90
961	2230	88
962	2232	85
963	2234	83
964	2236	81
965	2238	78
966	2239	76
967	2241	74
968	2243	71
969	2245	69
970	2247	67
971	2249	64
972	2251	62
973	2252	60
974	2254	57
975	2256	55
976	2258	53
977	2260	50
978	2261	48
979	2264	46
980	2266	43
981	2268	41
982	2270	39
983	2272	36
984	2274	34
985	2276	32
986	2279	30
987	2281	27
988	2283	25
989	2284	23
990	2286	20
991	2288	18
992	2290	16
993	2292	13
994	2293	11
995	2295	9
996	2299	6
997	2301	4
998	2302	2
999	2304	0
